"guid","fid","name","cr","size","type","tags","section","alignment","environment","ac","hp","init","lair?","legendary?","unique?","sources"
"33f8a198-101e-42c8-9dc0-a30e427aec76","5ef.blood-orchid","Blood Orchid","5","Large","Aberration","","Blood Orchid","chaotic evil","underground","14","85","1","","","","Fifth Edition Foes: 28"
"61486dcd-aea5-47a3-93b9-699578f57a2f","5ef.blood-orchid-grand-savant","Blood Orchid Grand Savant","9","Huge","Aberration","","Blood Orchid","lawful evil","underground","16","136","1","","","","Fifth Edition Foes: 29"
"2c76f25c-fea5-41aa-95cd-9b3cff17aa5a","5ef.blood-orchid-savant","Blood Orchid Savant","7","Large","Aberration","","Blood Orchid","lawful evil","underground","15","82","2","","","","Fifth Edition Foes: 28"
"3a8536aa-c0df-4408-971c-cfaa17754cb8","5ef.blood-pudding","Blood Pudding","2","Medium","Ooze","","","unaligned","swamp, underground","10","42","0","","","","Fifth Edition Foes: 187"
"b909141f-f103-4c1b-a2f0-8c201a9d297f","5ef.bloodsuckle","Bloodsuckle","3","Large","Plant","","","unaligned","forest, grassland","13","57","0","","","","Fifth Edition Foes: 30"
"7b554986-d466-4559-9165-7ae87e45f207","5ef.bloody-bones","Bloody Bones","2","Medium","Undead","","","chaotic evil","cave, ruins","13","27","1","","","","Fifth Edition Foes: 31"
"d8e494ed-78cb-411d-981b-6879c0654447","5ef.boalisk","Boalisk","1","Large","Monstrosity","","","unaligned","aquatic, forest","12","39","2","","","","Fifth Edition Foes: 32"
"8be204a1-450f-426f-a443-4a34d053088b","5ef.bone-cobbler","Bone Cobbler","2","Medium","Aberration","","","chaotic evil","underground","13","22","2","","","","Fifth Edition Foes: 33"
"06ed1123-cff6-4c57-8a3f-3021759e1030","5ef.bonesucker","Bonesucker","4","Large","Aberration","","","neutral evil","underground","15","68","1","","","","Fifth Edition Foes: 35"
"ef3f7368-89b7-4ca1-aed4-cbdb44766fc0","5ef.borsin-ape-centaur","Borsin (Ape Centaur)","3","Large","Monstrosity","","","chaotic evil","","12","60","2","","","","Fifth Edition Foes: 36"
"1b899f2f-eda5-4196-9f9f-f6a5352d2850","5ef.brass-man","Brass Man","6","Large","Construct","","","unaligned","planar","18","95","0","","","","Fifth Edition Foes: 37"
"d64b71c7-026e-41c2-868a-9b18efd58eae","5ef.brine-sea-serpent","Brine Sea Serpent","10","Huge","Dragon","Aquatic","","chaotic evil","aquatic","17","168","2","","legendary","","Fifth Edition Foes: 199"
"842934bf-43fd-4a27-9178-0d29fe2791bb","5ef.brontotherium","Brontotherium","6","Huge","Beast","","Pleistocene Animal","unaligned","","13","128","0","","","","Fifth Edition Foes: 183"
"30608f1b-aa83-43f8-b26a-ae1bedda7d52","5ef.brume","Brume","6","Large","Aberration","","","neutral evil","","16","90","3","","","","Fifth Edition Foes: 38"
"652e7842-051a-40ac-988d-a5a382142c96","5ef.burning-dervish","Burning Dervish","3","Medium","Fiend","","","lawful evil","planar","16","65","3","","","","Fifth Edition Foes: 39"
"e290d910-5ec3-42bb-90b6-6e27e4b1cb28","5ef.cadaver","Cadaver","1/2","Medium","Undead","","","chaotic evil","","11","15","1","","","","Fifth Edition Foes: 40"
"e56ff88a-f223-4d90-b555-dc847b9cdafa","5ef.cadaver-lord","Cadaver Lord","3","Medium","Undead","","","chaotic evil","","15","45","2","","","","Fifth Edition Foes: 41"
"eaeb0ca9-3904-4c36-b2c6-e4e178ded00a","5ef.carbuncle","Carbuncle","1/8","Small","Aberration","","","unaligned","forest","11","4","0","","","","Fifth Edition Foes: 42"
"ec0b8eb1-51f1-4dc3-ad1f-eec948e90724","5ef.caryatid-column","Caryatid Column","1","Medium","Construct","","","unaligned","","14","30","-1","","","","Fifth Edition Foes: 43"
"082fc525-a4e5-41aa-8ccb-d1ec6d80a9ab","5ef.caterprism","Caterprism","4","Large","Monstrosity","","","unaligned","planar","14","87","1","","","","Fifth Edition Foes: 45"
"f6c69373-bbab-47e9-a255-dc660cb96843","5ef.catoblepas","Catoblepas","5","Large","Monstrosity","","","unaligned","swamp","13","76","0","","","","Fifth Edition Foes: 47"
"06f1b52b-0cfb-48a2-83f5-b548523cf24f","5ef.cave-cricket","Cave Cricket","1/4","Small","Beast","","","unaligned","underground","13","5","2","","","","Fifth Edition Foes: 48"
"6becceec-276c-42b0-8fa8-1c2ff87d84a9","5ef.cave-eel","Cave Eel","1/4","Medium","Beast","","","unaligned","cave, dungeon","12","9","2","","","","Fifth Edition Foes: 49"
"431a88c4-19f8-4a5e-8861-1102ab2766cc","5ef.cave-fisher","Cave Fisher","2","Large","Monstrosity","","","unaligned","underground","12","51","2","","","","Fifth Edition Foes: 50"
"27c84aed-9b9e-496a-9b2f-e8d36925b464","5ef.cave-leech","Cave Leech","6","Large","Beast","","","chaotic evil","underground","10","102","2","","","","Fifth Edition Foes: 51"
"b25b5ed8-7ad5-48e6-bc4b-ea14fb6e5e22","5ef.centipede-nest","Centipede Nest","1/2","Medium","Beast","Swarm","","unaligned","","11","22","2","","","","Fifth Edition Foes: 52"
"21294951-6251-4e74-b166-30726b85c3d4","5ef.cerebral-stalker","Cerebral Stalker","5","Medium","Aberration","","","chaotic evil","","16","85","2","","","","Fifth Edition Foes: 53"
"6cb45236-ed84-468d-bb44-fc6b4ee27ef9","5ef.chain-worm","Chain Worm","12","Large","Beast","","","unaligned","underground","21","161","3","","","","Fifth Edition Foes: 54"
"388f5263-8df5-4b78-9469-dc82f25ea0d5","5ef.chaos-knight","Chaos Knight","3","Medium","Fiend","","","chaotic evil","","16","78","2","","","","Fifth Edition Foes: 55"
"b0c06424-9fc5-4c34-82ac-a1f3c2507b96","5ef.chupacabra","Chupacabra","1","Small","Humanoid","","","chaotic neutral","forest, urban","12","27","2","","","","Fifth Edition Foes: 56"
"6874540a-1b44-4082-9e01-8abae4f99109","5ef.church-grim","Church Grim","1","Medium","Monstrosity","Incorporeal","","lawful good","","12","32","2","","","","Fifth Edition Foes: 57"
"3e1e5b6f-12c9-4b4c-8043-7b9283be7212","5ef.churr","Churr","4","Large","Monstrosity","","","neutral evil","forest","14","57","2","","","","Fifth Edition Foes: 58"
"1ba27eaa-c952-40c8-92f9-3073e1d9fc51","5ef.cimota","Cimota","2","Medium","Undead","","Cimota","lawful evil","","15","44","3","","","","Fifth Edition Foes: 59"
"5013a4e9-6072-49e3-a287-25cb0d43cf58","5ef.cimota-guardian","Cimota Guardian","4","Medium","Undead","","Cimota","lawful evil","","16","71","3","","","","Fifth Edition Foes: 59"
"61f8ab2e-a308-41d4-b063-3064babc0b7c","5ef.clamor","Clamor","2","Medium","Aberration","Extraplanar, Incorporeal","","unaligned","","17","45","7","","","","Fifth Edition Foes: 62"
"a0d04c1f-e306-46dc-a483-049cdbef3bf1","5ef.cobra-flower","Cobra Flower","2","Large","Plant","","","unaligned","forest","11","51","1","","","","Fifth Edition Foes: 63"
"e0b158b9-6847-4e07-92e8-149baadd0f06","5ef.coffer-corpse","Coffer Corpse","2","Medium","Undead","","","chaotic evil","underground","12","45","1","","","","Fifth Edition Foes: 64"
"5d2e03d9-7593-4d9f-9dee-c2eb8637d9fb","5ef.cooshee","Cooshee","1","Medium","Monstrosity","","","neutral good","forest","13","13","3","","","","Fifth Edition Foes: 65"
"c73a2904-8c96-443a-96db-45c2d9c8308e","5ef.corpse-rook","Corpse Rook","4","Large","Monstrosity","","","neutral evil","grassland","14","45","2","","","","Fifth Edition Foes: 66"
"1e4d6002-0f2d-499a-9a7c-c07dc1369904","5ef.corpsespinner","Corpsespinner","5","Huge","Monstrosity","Extraplanar","","unaligned","planar","17","114","3","","","","Fifth Edition Foes: 67"
"15aca2d5-5da4-4a41-b4e3-eb926d6a3bcd","5ef.corpsespun","Corpsespun","1","Medium","Undead","","","neutral","planar","11","44","1","","","","Fifth Edition Foes: 68"
"f627523a-7a8d-4914-9709-a827f15e2ab1","5ef.crabman","Crabman","1","Large","Monstrosity","","","neutral","aquatic","14","22","0","","","","Fifth Edition Foes: 69"
"c4ee0612-11fc-4327-a641-2fc5cd6f5ee6","5ef.crimson-basilisk","Crimson Basilisk","3","Medium","Monstrosity","","Basilisks","unaligned","underground","13","60","0","","","","Fifth Edition Foes: 21"
"2e242225-28d7-4656-9199-445bdbec57fe","5ef.crimson-mist","Crimson Mist","7","Medium","Aberration","","","neutral evil","swamp, underground","17","127","4","","","","Fifth Edition Foes: 71"
"37a66de3-f1d3-4927-9761-bcc3ee9ccaed","5ef.crypt-thing","Crypt Thing","3","Medium","Undead","","","neutral","underground","15","52","2","","","","Fifth Edition Foes: 72"
"9fca5d72-502a-42e9-9712-d27ee1af479c","5ef.dagon","Dagon","20","Large","Fiend","Aquatic","","chaotic evil","aquatic, planar","19","287","4","","legendary","","Fifth Edition Foes: 73"
"bb2f95fd-8125-40b5-bc22-c671f0dc4dc1","5ef.dark-creeper","Dark Creeper","1/4","Small","Humanoid","","Dark Folk","chaotic neutral","underground","15","16","3","","","","Fifth Edition Foes: 74"
"a58f7528-0727-46a9-b382-52e3061f1a25","5ef.dark-stalker","Dark Stalker","2","Medium","Humanoid","","Dark Folk","chaotic neutral","underground","15","48","4","","","","Fifth Edition Foes: 74"
"e50756f9-5450-40b8-a2b0-0e9d12cdfa46","5ef.dark-triton","Dark Triton","1","Large","Monstrosity","Aquatic","","chaotic evil","aquatic","12","30","0","","","","Fifth Edition Foes: 233"
"5af1c32d-ba8d-4b68-8258-ad58f9c586a2","5ef.darno","Darno","2","Medium","Undead","","","lawful evil","","12","52","2","","","","Fifth Edition Foes: 76"
"c8951c4f-344e-43b2-b347-7bfeb1342d95","5ef.death-dog","Death Dog","1/2","Medium","Monstrosity","","","neutral evil","desert","13","26","2","","","","Fifth Edition Foes: 77"
"d8340df1-64e8-4504-b4f3-fbb37815557b","5ef.death-worm","Death Worm","3","Large","Monstrosity","","","unaligned","","15","59","1","","","","Fifth Edition Foes: 78"
"748a1b33-972e-4d6b-bf93-66d4f17462a2","5ef.decapus","Decapus","2","Medium","Aberration","","","chaotic evil","forest, ruins, underground","12","44","1","","","","Fifth Edition Foes: 79"
"03355493-0eed-4b7f-a761-d3a092d52ec2","5ef.deep-hunter-sea-serpent","Deep Hunter Sea Serpent","14","Gargantuan","Dragon","Aquatic","","lawful neutral","aquatic","18","232","2","","legendary","","Fifth Edition Foes: 200"
"cf9a0fa9-e840-471f-8f20-218fe1d10d64","5ef.demonic-knight","Demonic Knight","5","Medium","Fiend","","","chaotic evil","","17","81","1","","","","Fifth Edition Foes: 82"
"5df7b005-92a7-49b6-b994-8139341a1fa2","5ef.denizen-of-leng","Denizen of Leng","5","Medium","Aberration","","","chaotic evil","","16","85","4","","","","Fifth Edition Foes: 83"
"aedfee30-ec76-4cfc-adc5-71f9ac1151f8","5ef.dire-corby","Dire Corby","1/2","Medium","Monstrosity","","","neutral evil","underground","11","11","1","","","","Fifth Edition Foes: 84"
"5f0cee9e-673f-419e-b4c6-bd45efe7fddd","5ef.doombat","Doombat","3","Large","Monstrosity","","","unaligned","underground","15","59","5","","","","Fifth Edition Foes: 23"
"14ce29a0-f233-4ce5-bcc5-28497daad2b7","5ef.dracolisk","Dracolisk","7","Large","Dragon","","","unaligned","","17","114","1","","","","Fifth Edition Foes: 85"
"9edb5935-e824-48ef-9e61-1c2f5894f975","5ef.dust-digger","Dust Digger","3","Large","Aberration","","","unaligned","desert","13","38","0","","","","Fifth Edition Foes: 88"
"2e2b546e-0154-4fca-b142-14a7e9ec68f9","5ef.eblis","Eblis","1/2","Medium","Monstrosity","","","neutral evil","swamp","12","22","2","","","","Fifth Edition Foes: 89"
"96236a8d-483c-46ed-9af7-1a0033434c1d","5ef.ectoplasm","Ectoplasm","2","Large","Ooze","Incorporeal","","unaligned","","12","39","1","","","","Fifth Edition Foes: 90"
"cfc78e02-ba1d-40a5-b6c8-4aff2f0f985b","5ef.elusa-hound","Elusa Hound","1","Medium","Monstrosity","","","unaligned","forest, grassland","14","26","2","","","","Fifth Edition Foes: 93"
"8aa24fcf-01dd-4c1f-986a-35f3a27b40a5","5ef.encephalon-gorger-psilian","Encephalon Gorger (Psilian)","4","Medium","Aberration","","","chaotic evil","","13","65","3","","","","Fifth Edition Foes: 94"
"9c7cddd1-1159-4d22-8cb1-db8d7722fe42","5ef.fanged-sea-serpent","Fanged Sea Serpent","5","Large","Dragon","Aquatic","","neutral evil","aquatic","18","85","1","","","","Fifth Edition Foes: 201"
"44253d68-8f2c-4751-991f-abc921df8a9c","5ef.fear-guard","Fear Guard","3","Medium","Undead","","","chaotic evil","underground","17","51","2","","","","Fifth Edition Foes: 98"
"195d4017-bd24-4b10-9e1a-3a8b05e38977","5ef.fen-witch","Fen Witch","2","Medium","Monstrosity","","","chaotic evil","swamp","12","33","1","","","","Fifth Edition Foes: 99"
"877eeff7-a54d-4beb-b94d-490a917a3c98","5ef.feral-undead-cat","Feral Undead Cat","1/8","Small","Undead","","","chaotic evil","ruins","12","3","2","","","","Fifth Edition Foes: 44"
"56e56efe-e085-41a7-8b68-16a6214a5fbe","5ef.fetch","Fetch","1","Medium","Undead","","","lawful evil","grassland, mountain","13","16","2","","","","Fifth Edition Foes: 100"
"8a9ee592-179e-4d88-9110-48a3f25aea2d","5ef.fire-drake","Fire Drake","1","Small","Dragon","","","chaotic evil","mountain","13","27","1","","","","Fifth Edition Foes: 86"
"da5d467a-61f9-4863-89dc-7b2cb828f12f","5ef.flagstone-golem","Flagstone Golem","7","Large","Construct","","Golems","unaligned","","15","114","-1","","","","Fifth Edition Foes: 126"
"50e8cce3-f0b6-4b53-8be5-4c9b3e99b2be","5ef.flail-snail","Flail Snail","3","Large","Monstrosity","","","unaligned","ruins, underground","16","38","-1","","","","Fifth Edition Foes: 103"
"3d630efa-9f83-43e4-9f02-9d10c9d7b7ce","5ef.flowershroud","Flowershroud","1","Large","Plant","","","unaligned","forest, grassland","11","19","1","","","","Fifth Edition Foes: 104"
"cf00a20a-5160-41a3-9c33-53cdf9fbc7aa","5ef.flying-ape","Flying Ape","2","Large","Monstrosity","","","chaotic neutral","","13","45","2","","","","Fifth Edition Foes: 12"
"9fde7d89-902a-418c-96b9-fde58e5c088e","5ef.foo-dog","Foo Dog","3","Medium","Monstrosity","","","chaotic good","planar","13","52","2","","","","Fifth Edition Foes: 105"
"4dffa61d-9d30-4710-9039-8f23ff84f11c","5ef.foresters-bane","Forester's Bane","5","Large","Plant","","","unaligned","grassland","10","103","0","","","","Fifth Edition Foes: 106"
"f305e58f-b209-4df7-a969-da60985f8952","5ef.four-armed-gargoyle","Four-Armed Gargoyle","4","Medium","Monstrosity","","Gargoyles","chaotic evil","aquatic, underground","15","55","2","","","","Fifth Edition Foes: 113"
"25ae7268-2b42-487e-8bd5-3ff47eb97855","5ef.foxwere","Foxwere","1/2","Small","Monstrosity","Shapechanger","Therianthrope","lawful evil","forest, underground","12","13","2","","","","Fifth Edition Foes: 227"
"7d5c64eb-eefe-4152-be3c-c0f065d27c11","5ef.froghemoth","Froghemoth","11","Huge","Aberration","","","unaligned","swamp","15","200","0","","","","Fifth Edition Foes: 107"
"61018b7f-fc0b-4204-ac4e-18d39d520b50","5ef.fungoid","Fungoid","2","Medium","Plant","Fungoid","","neutral evil","swamp","15","45","1","","","","Fifth Edition Foes: 108"
"0ab016e4-ac4e-4dff-ad91-cd731999ff6c","5ef.fungus-bat","Fungus Bat","1/4","Medium","Plant","Fungoid","","unaligned","underground","11","16","1","","","","Fifth Edition Foes: 109"
"a43a7260-f1ea-4c5d-98ca-929db9a1bd4a","5ef.fungus-gargoyle","Fungus Gargoyle","1","Medium","Plant","","Gargoyles, Fungi","neutral evil","","14","52","2","","","","Fifth Edition Foes: 114"
"56d812d0-1e6c-4215-8add-69997bda3581","5ef.furnace-golem","Furnace Golem","9","Large","Construct","","Golems","unaligned","","16","152","-1","","","","Fifth Edition Foes: 127"
"2ed648cd-e401-4aa1-ad00-19cf596aa0c2","5ef.fyr","Fyr","1/4","Small","Fey","","","neutral","forest, mountain","11","9","1","","","","Fifth Edition Foes: 110"
"6b3ba99c-30b6-4b19-8fea-b2ddc1397afc","5ef.gallows-tree","Gallows Tree","13","Huge","Plant","","","unaligned","forest, grassland, swamp","15","225","0","","","","Fifth Edition Foes: 111"
"9680e243-fecb-4e71-b7fb-ebfc695cff84","5ef.gallows-tree-zombie","Gallows Tree Zombie","2","Medium","Plant","","","unaligned","forest, grassland, swamp","11","33","1","","","","Fifth Edition Foes: 112"
"813dfa0d-6747-4c30-b98d-a7872a959d79","5ef.ghost-ammonite","Ghost-Ammonite","2","Medium","Undead","","","unaligned","","10","33","2","","","","Fifth Edition Foes: 118"
"68c63f04-8e50-45ef-b0be-7c66313d7aad","5ef.giant-ant-exoskeleton","Giant Ant Exoskeleton","1/2","Large","Construct","","","lawful evil","desert, grassland","16","15","1","","","","Fifth Edition Foes: 95"
"150f864a-a381-4cdc-b983-47cd0cd2f6c8","5ef.giant-beetle-exoskeleton","Giant Beetle Exoskeleton","2","Large","Construct","","","unaligned","","17","42","1","","","","Fifth Edition Foes: 96"
"9ab9a2e0-347f-4645-9ac5-920e4109e442","5ef.giant-clam","Giant Clam","1/4","Large","Beast","","","unaligned","aquatic","14","22","0","","","","Fifth Edition Foes: 61"
"f2a457ae-756c-45e8-a159-a2e15eff43e0","5ef.giant-crab-exoskeleton","Giant Crab Exoskeleton","3","Large","Construct","","","unaligned","","18","57","0","","","","Fifth Edition Foes: 97"
"c1b7bebb-222f-4e83-a7b9-885fb8b958d1","5ef.giant-electric-catfish","Giant Electric Catfish","3","Large","Beast","Aquatic","","unaligned","aquatic","12","68","2","","","","Fifth Edition Foes: 46"
"d5d4329c-ab10-4a4f-8040-6a1a035c80da","5ef.giant-horsefly","Giant Horsefly","1/2","Large","Beast","","","unaligned","","12","30","2","","","","Fifth Edition Foes: 146"
"f0d94abd-9d0d-49f9-b1a1-fad5818d8ac5","5ef.giant-moray-eel","Giant Moray Eel","2","Medium","Beast","Aquatic","","unaligned","aquatic","12","52","2","","","","Fifth Edition Foes: 91"
"b5a7f95d-023a-48ac-b87d-aee218afd4ce","5ef.giant-rhinoceros-beetle","Giant Rhinoceros Beetle","4","Large","Beast","","","unaligned","forest","18","95","0","","","","Fifth Edition Foes: 24"
"2dcf8e8b-f858-4acb-9a13-8f898ed872a9","5ef.giant-seahorse","Giant Seahorse","1/2","Large","Beast","","","unaligned","aquatic","12","26","2","","","","Fifth Edition Foes: 205"
"dc62f7b1-fc36-4e85-afa3-4cf25d0cabeb","5ef.giant-slicer-beetle","Giant Slicer Beetle","3","Large","Beast","","","unaligned","forest","15","59","0","","","","Fifth Edition Foes: 24"
"fba44dbb-a3b3-44d7-81ce-bae7fd75e562","5ef.giant-slug-of-pnakh","Giant Slug of P'nakh","4","Large","Fiend","","","chaotic evil","ruins, underground","11","76","-1","","","","Fifth Edition Foes: 119"
"a97cd7b9-152c-48f2-8908-5f08da9a5027","5ef.giant-water-beetle","Giant Water Beetle","1/2","Medium","Beast","Aquatic","","unaligned","aquatic","14","30","1","","","","Fifth Edition Foes: 25"
"8f957588-da24-404d-915f-6f2e76399d82","5ef.gillmonkey","Gillmonkey","1/4","Small","Beast","Aquatic","","chaotic evil","aquatic","12","7","2","","","","Fifth Edition Foes: 121"
"6cd7a61a-7734-49fb-94b3-8a4b7083e00b","5ef.glacial-ooze","Glacial Ooze","1","Large","Ooze","","","unaligned","arctic","5","57","-5","","","","Fifth Edition Foes: 178"
"10f215bf-29aa-4426-96d1-c6e6baaabf96","5ef.gloom-crawler","Gloom Crawler","10","Huge","Monstrosity","","","neutral","","12","159","2","","","","Fifth Edition Foes: 122"
"63798c35-6c96-4e6f-be8c-d98e2e97b1cb","5ef.gnarlwood","Gnarlwood","8","Huge","Plant","","","neutral evil","forest","16","132","-1","","","","Fifth Edition Foes: 123"
"1f20da7f-5464-4386-87dc-dc34e0928220","5ef.gohl","Gohl","8","Large","Aberration","","","chaotic evil","ruins, underground","13","85","3","","","","Fifth Edition Foes: 124"
"df1c7b07-15b6-4274-9d4f-dcad32e176cc","5ef.golden-cat","Golden Cat","0","Tiny","Beast","","","unaligned","","12","3","2","","","","Fifth Edition Foes: 125"
"f44e122d-f1fd-473c-8233-9282c8c95fe0","5ef.gorbel","Gorbel","1/4","Small","Aberration","","","neutral","forest","12","11","2","","","","Fifth Edition Foes: 130"
"32e8f240-7de2-4261-8c37-0e2edaf48e85","5ef.gorgimera","Gorgimera","7","Large","Monstrosity","","","unaligned","mountain","17","95","1","","","","Fifth Edition Foes: 131"
"ffaf52f8-a1cc-4a5e-bd4d-5c10bdd48836","5ef.gorilla-bear","Gorilla Bear","1","Medium","Monstrosity","","","unaligned","forest","13","26","2","","","","Fifth Edition Foes: 132"
"8d92db78-2370-4cc5-9c12-a47e645f4825","5ef.gray-nisp","Gray Nisp","6","Large","Fey","","","chaotic neutral","aquatic","15","95","3","","","","Fifth Edition Foes: 133"
"c096015a-9bff-483e-b0c7-b67a948c59b1","5ef.greater-basilisk","Greater Basilisk","5","Large","Monstrosity","","Basilisks","neutral evil","desert","16","95","-1","","","","Fifth Edition Foes: 22"
"8fe9fbdc-e6bf-4c7f-b64b-3b537589a5df","5ef.greater-boneneedle","Greater Boneneedle","1","Medium","Beast","","Boneneedle","unaligned","underground","13","31","3","","","","Fifth Edition Foes: 34"
"b47d2bf0-b548-4cd5-982b-c58ab7ef30dc","5ef.greater-fire-crab","Greater Fire Crab","2","Large","Monstrosity","","","unaligned","planar","14","34","0","","","","Fifth Edition Foes: 101"
"7cb9a7e8-516b-4772-a429-148b4a6431f2","5ef.green-brain","Green Brain","1","Small","Plant","","","lawful evil","underground","12","17","2","","","","Fifth Edition Foes: 134"
"f5d27c86-df25-4f77-b7e4-fc018f151186","5ef.green-guardian-gargoyle","Green Guardian Gargoyle","1","Medium","Monstrosity","","Gargoyles","chaotic evil","aquatic, underground","13","34","2","","","","Fifth Edition Foes: 115"
"3e235c32-1cd0-4cc4-892e-a4a51d47d07c","5ef.grimm","Grimm","7","Large","Fey","","","neutral evil","mountain","14","104","2","","","","Fifth Edition Foes: 135"
"905d0a84-71ea-43ab-9e41-190373db01d6","5ef.grippli","Grippli","1/4","Small","Humanoid","","","neutral","forest, swamp","13","9","3","","","","Fifth Edition Foes: 136"
"4398adcd-87f3-4bd7-98ca-854f2a66bb77","5ef.grue-type-1","Grue (Type 1)","4","Large","Ooze","","","unaligned","underground","15","75","0","","","","Fifth Edition Foes: 137"
"2953d90d-2079-49be-89de-5e1e4977e924","5ef.grue-type-2","Grue (Type 2)","2","Medium","Aberration","","","chaotic evil","","13","36","3","","","","Fifth Edition Foes: 138"
"a416b6de-fc27-40ab-b4be-25d74a333002","5ef.gulper-eel","Gulper Eel","3","Large","Beast","Aquatic","","unaligned","aquatic","14","60","2","","","","Fifth Edition Foes: 92"
"169a5633-9680-4bc0-b172-e2775a45c514","5ef.hanged-man","Hanged Man","1/2","Medium","Undead","","","chaotic evil","","11","22","1","","","","Fifth Edition Foes: 139"
"964941f9-1859-467d-b12c-e1afdb967cd0","5ef.hangman-tree","Hangman Tree","7","Huge","Plant","","","neutral evil","forest","17","92","-2","","","","Fifth Edition Foes: 140"
"f5088d29-9ad8-40e0-bf14-85873c2a04c2","5ef.hanu-naga","Hanu-naga","2","Large","Monstrosity","","Nagas","chaotic evil","forest, mountain","14","39","2","","","","Fifth Edition Foes: 175"
"bfa26d58-e035-402c-bddb-eeba284a9a97","5ef.hawanar","Hawanar","7","Large","Fiend","","Genies","lawful neutral","planar","17","97","2","","","","Fifth Edition Foes: 117"
"5c1cc602-9168-43d9-8c57-a41debe78732","5ef.hawktoad","Hawktoad","1/4","Small","Monstrosity","","","unaligned","forest, swamp","12","5","2","","","","Fifth Edition Foes: 141"
"a2b10350-c778-42ee-90d9-06c8eabd79a2","5ef.helix-moth-adult","Helix Moth Adult","6","Huge","Beast","","","unaligned","forest","14","114","2","","","","Fifth Edition Foes: 142"
"e33c82a2-9f11-49d8-b283-1d1188659bda","5ef.helix-moth-larva","Helix Moth Larva","2","Large","Beast","","","unaligned","underground","14","65","2","","","","Fifth Edition Foes: 142"
"963a4b94-940f-4d43-9d63-c0720ebf41a6","5ef.hieroglyphicroc","Hieroglyphicroc","3","Large","Undead","","","lawful evil","ruins","13","52","0","","","","Fifth Edition Foes: 143"
"bdbbcb95-28fb-42af-a0e8-8becba855486","5ef.high-cimota","High Cimota","6","Medium","Undead","","Cimota","lawful evil","","17","99","4","","","","Fifth Edition Foes: 60"
